t1_spatula,t2_whisk(stay put in t1),t2_whisk(intervene in t1),t3_scissors(stay put in t2),t3_scissors(intervene in t2),t4_knife(stay put in t3),t4_knife(intervene in t3)
1,1,-1,1,-1,1,-1
1,1,-1,1,-1,1,-1
1,1,-1,2,-1,-1,2
1,1,-1,1,-1,1,-1
1,1,-1,2,-1,-1,1
1,1,-1,2,-1,-1,2
1,1,-1,2,-1,-1,1
2,-1,1,1,-1,1,-1
1,1,-1,2,-1,-1,1
1,1,-1,2,-1,-1,2
1,1,-1,2,-1,-1,2
1,1,-1,1,-1,1,-1
1,2,-1,-1,1,2,-1
1,2,-1,-1,2,-1,1
2,-1,1,1,-1,1,-1
1,1,-1,1,-1,1,-1
1,1,-1,2,-1,-1,2
1,1,-1,2,-1,-1,2
1,1,-1,2,-1,-1,2
2,-1,1,2,-1,-1,2
1,2,-1,-1,2,-1,2
1,2,-1,-1,2,-1,1
1,1,-1,2,-1,-1,1
1,2,-1,-1,1,1,-1
1,1,-1,1,-1,1,-1
2,-1,1,2,-1,-1,1
1,1,-1,1,-1,1,-1
2,-1,1,2,-1,-1,2
1,2,-1,-1,1,1,-1
1,1,-1,1,-1,1,-1
1,1,-1,1,-1,1,-1
1,1,-1,1,-1,1,-1
1,1,-1,2,-1,-1,2
